Tanımlayıcı;Seviye;Sınıflar;Standart;Açıklama;Kavram;Alt_Kavram;Uygulama;Alt Uygulama-1;Alt Uygulama-2;Alt Uygulama-3
1A-AP-11;1A;K-2;Bir sorunu çözmek için gereken adımları kesin bir talimat dizisine ayırın (ayrıştırın).;Ayrıştırma, görevleri daha basit görevlere ayırma eylemidir. Öğrenciler, fıstık ezmeli ve jöleli bir sandviç yapmak, dişlerini fırçalamak, bir şekil çizmek, ekranda bir karakteri hareket ettirmek veya bir kodlama uygulamasının bir seviyesini çözmek için gereken adımları parçalara ayırabilir.;Algoritmalar ve Programlama;Modülerlik;Bilişimsel Problemleri Tanıma ve Tanımlama;P3.2 – Karmaşık problemleri yönetilebilir alt problemlere ayırma;;
1A-AP-12;1A;K-2;Bir programın olaylar dizisini, hedeflerini ve beklenen sonuçlarını açıklayan planlar geliştirin.;Bir programın ne yapacağına dair bir plan oluşturmak, programı oluşturmak için gerekecek adımları netleştirir ve bir programın doğru olup olmadığını kontrol etmek için kullanılabilir. Öğrenciler, programlarının ne yapacağını göstermek için hikaye haritası, hikaye panosu veya sıralı bir grafik düzenleyici gibi bir planlama belgesi oluşturabilir. Bu aşamadaki öğrenciler, planlama sürecini öğretmenlerinin yardımıyla tamamlayabilir.;Algoritmalar ve Programlama;Program Geliştirme;Bilişimsel Eserler Yaratmak, Bilişim Hakkında İletişim Kurmak;P5.1 – Dijital ürün geliştirmeyi yinelemeli bir süreçle planlama;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;
1A-AP-13;1A;K-2;Programlar geliştirirken başkalarının fikirlerini ve yaratımlarını kullandığınızda atıfta bulunun.;Bilgisayar kullanmak beraberinde bir sorumluluk düzeyi getirir. Öğrenciler resimler, müzik ve kod gibi başkaları tarafından oluşturulan eserlere itibar etmelidir. Eserlerini sınıfa sunuyorlarsa sözlü olarak veya bir sınıf blogunda veya web sitesinde paylaşıyorlarsa yazılı veya sözlü olarak kredi verilebilir. Bu aşamada uygun atıf, bir kaynakça veya alıntılanan eserler belgesindeki gibi resmi bir alıntı gerektirmez.;Algoritmalar ve Programlama;Program Geliştirme;Bilişim Hakkında İletişim Kurmak;P7.3 – Fikri mülkiyet haklarına uyarak ve uygun kaynak göstererek fikirleri sorumlu biçimde ifade etme;;
1A-AP-14;1A;K-2;Diziler ve basit döngüler içeren bir algoritmada veya programda hataları ayıklayın (belirleyin ve düzeltin).;Algoritmalar veya programlar her zaman doğru çalışmayabilir. Öğrenciler, adımların sırasını değiştirmek, algoritmayı adım adım izlemek veya algoritmalar ile programlardaki sorunları düzeltmek için deneme yanılma gibi çeşitli stratejileri kullanabilmelidir.;Algoritmalar ve Programlama;Program Geliştirme;Bilişimsel Eserleri Test Etme ve İyileştirme;P6.2 – Hataları sistematik biçimde belirleme ve düzeltme;;
1A-AP-15;1A;K-2;Program geliştirmenin yinelemeli sürecinde atılan adımları ve yapılan seçimleri doğru terminolojiyi kullanarak açıklayın.;Bu aşamada öğrenciler, oluşturdukları programların hedefleri ve beklenen sonuçları ile program oluştururken yaptıkları seçimler hakkında konuşabilmeli veya yazabilmelidir. Bu, kodlama günlükleri, öğretmenle tartışmalar, sınıf sunumları veya bloglar aracılığıyla yapılabilir.;Algoritmalar ve Programlama;Program Geliştirme;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
1A-IC-16;1A;K-2;Yeni bilişim teknolojisinin uygulanması veya benimsenmesinden önce ve sonra insanların nasıl yaşayıp çalıştığını karşılaştırın.;Bilişim teknolojisi, insanların yaşama ve çalışma şeklini olumlu ve olumsuz yönde değiştirmiştir. Geçmişte öğrenciler bir konu hakkında okumak istediklerinde, konu hakkında bir kitap bulmak için bir kütüphaneye erişmeleri gerekiyordu. Bugün öğrenciler internetteki bir konu hakkındaki bilgileri görüntüleyip okuyabilir veya konuyla ilgili e-kitapları doğrudan bir cihaza indirebilirler. Bu tür bilgiler birden fazla dilde mevcut olabilir ve bir öğrenciye okunarak büyük erişilebilirlik sağlanabilir.;Bilişimin Etkileri;Kültür;Bilişim Hakkında İletişim Kurmak;P7 – Bilişim kavramlarını, süreçlerini ve etkilerini anlaşılır biçimde ifade etme;;
1A-IC-17;1A;K-2;Çevrimiçi olarak başkalarıyla saygılı ve sorumlu bir şekilde çalışın.;Çevrimiçi iletişim, birçok kişiyle fikir paylaşma gibi olumlu etkileşimleri kolaylaştırır, ancak çevrimiçi iletişimin kamusal ve anonim yapısı, siber zorbalık biçimindeki korkutucu ve uygunsuz davranışlara da olanak tanır. Öğrenciler, uygunsuz veya onları başkalarına kişisel olarak tanıtabilecek bilgileri paylaşmaktan kaçınarak çalışmalarını bloglarda veya diğer işbirliğine dayalı alanlarda çevrimiçi olarak paylaşabilir. Öğrenciler, çalışmalarında başkalarına nazik ve saygılı bir şekilde geri bildirim sağlayabilir ve başkaları çevrimiçi ortak çalışma alanlarında paylaşmamaları gereken şeyleri paylaşıyorlarsa veya başkalarına kaba veya saygısız davranıyorlarsa bunu bir yetişkine söyleyebilirler.;Bilişimin Etkileri;Sosyal Etkileşimler;Bilişim Etrafında İşbirliği Yapmak;P2.1 – Farklı bakış açıları, beceriler ve kişiliklerle etkili çalışma ilişkileri kurma;;
1A-IC-18;1A;K-2;Giriş bilgilerini gizli tutun ve cihazlardan uygun şekilde çıkış yapın.;İnsanlar bilişim teknolojisini kendilerine veya başkalarına yardım edebilecek veya zarar verebilecek şekillerde kullanırlar. Özel bilgileri paylaşmak ve halka açık cihazlarda oturum açık bırakmak gibi zararlı davranışlar fark edilmeli ve bunlardan kaçınılmalıdır.;Bilişimin Etkileri;Güvenlik Hukuk ve Etik;Bilişim Hakkında İletişim Kurmak;P7.3 – Fikri mülkiyet haklarına uyarak ve uygun kaynak göstererek fikirleri sorumlu biçimde ifade etme;;
1B-CS-01;1B;3-5;Bilişim cihazlarının iç ve dış parçalarının bir sistem oluşturmak üzere nasıl işlev gördüğünü açıklayın.;"Bilişim cihazları genellikle diğer cihazlara veya bileşenlere bağlıdır. Örneğin, bir robot parlaklıktaki değişiklikleri tespit etmek için fiziksel olarak bağlı bir ışık sensörüne güvenirken, ışık sensörü güç için robota güvenir. Klavye girişi veya fare tıklaması bir eylemin gerçekleşmesine veya bilgilerin bir ekranda görüntülenmesine neden olabilir; bu ancak bilgisayarın dışarıda neler olup bittiğini değerlendirmek ve buna karşılık gelen yanıtlar üretmek için bir işlemcisi olduğu için gerçekleşebilir. Öğrenciler, cihazların ve bileşenlerin nasıl etkileşime girdiğini doğru terminolojiyi kullanarak açıklamalıdır.";Bilişim Sistemleri;Cihazlar;Bilişim Hakkında İletişim Kurmak;P7.2 – Hesaplamalı süreçleri ve çözümleri hedef kitleye uygun teknik terminolojiyle açıklama, gerekçelendirme ve dokümante etme;;
1B-CS-02;1B;3-5;Görevleri başarmak için bilgisayar donanımı ve yazılımının bir sistem olarak nasıl birlikte çalıştığını modelleyin.;Bir kişinin bir bilgisayarla görevleri başarması için hem donanıma hem de yazılıma ihtiyacı vardır. Bu aşamada, bir model yalnızca girdi, çıktı, işlemci, sensörler ve depolama gibi bir bilgisayar sisteminin temel öğelerini içermelidir. Öğrenciler kağıt üzerinde veya bir çizim programında bir model çizebilir, bunu göstermek için bir animasyon programlayabilir veya bunu bir şekilde canlandırarak gösterebilirler.;Bilişim Sistemleri;Donanım ve Yazılım;Soyutlamalar Geliştirmek ve Kullanmak;P4.4 – Olguları, süreçleri ve sistemleri modelleyerek olası sonuçları anlama ve değerlendirme;;
1B-CS-03;1B;3-5;Yaygın sorun giderme stratejilerini kullanarak basit donanım ve yazılım sorunlarını çözmek için potansiyel çözümleri belirleyin.;Bilişim sistemleri farklılık gösterse de, yaygın sorun giderme stratejileri hepsinde kullanılabilir. Öğrenciler cihazın yanıt vermemesi, güç olmaması, ağ olmaması, uygulamanın çökmesi, ses olmaması veya şifre girişinin çalışmaması gibi sorunlara yönelik çözümler belirleyebilmelidir. Okulda hatalar meydana gelirse, amaç öğrencilerin bu sorunları çözmek için cihazı yeniden başlatmak, gücü kontrol etmek, ağ kullanılabilirliğini kontrol etmek, bir uygulamayı kapatıp yeniden açmak, hoparlörlerin açık veya kulaklıkların takılı olduğundan emin olmak ve caps lock tuşunun açık olmadığından emin olmak gibi çeşitli stratejiler kullanması olacaktır.;Bilişim Sistemleri;Sorun Giderme;Bilişimsel Eserleri Test Etme ve İyileştirme;P6.2 – Hataları sistematik biçimde belirleme ve düzeltme;;
1B-NI-04;1B;3-5;Bilgilerin nasıl daha küçük parçalara bölündüğünü, ağlar ve İnternet üzerinden birden çok cihaz aracılığıyla paketler halinde nasıl iletildiğini ve varış noktasında nasıl yeniden birleştirildiğini modelleyin.;Bilgiler fiziksel veya kablosuz yollarla gönderilir ve alınır. Paketler adı verilen daha küçük parçalara bölünür, bu paketler bağımsız olarak gönderilir ve hedefte yeniden birleştirilir. Öğrenciler bu bilgi akışına ilişkin anlayışlarını örneğin paketlerin nasıl iletildiğine dair bir model çizerek, paketlerin nasıl iletildiğini göstermek için bir animasyon programlayarak veya bunu bir şekilde canlandırdıkları bilgisayarsız (unplugged) bir etkinlikle gösterebilirler.;Ağlar ve İnternet;Ağ İletişimi ve Organizasyon;Soyutlamalar Geliştirmek ve Kullanmak;P4.4 – Olguları, süreçleri ve sistemleri modelleyerek olası sonuçları anlama ve değerlendirme;;
1B-NI-05;1B;3-5;Gerçek dünyadaki siber güvenlik sorunlarını ve kişisel bilgilerin nasıl korunabileceğini tartışın.;Kişisel mülkümüzü çevrimdışı olarak nasıl koruyorsak, cihazlarımızı ve onlarda saklanan bilgileri de korumamız gerekir. Bilgiler çeşitli güvenlik önlemleri kullanılarak korunabilir. Bu önlemler fiziksel ve/veya dijital olabilir. Öğrenciler, kişisel siber güvenlik sorunlarıyla ilgili konular hakkında sözlü veya yazılı olarak açıklama yapmak için bir günlük veya blog etkinliğini tartışabilir veya kullanabilirler. Tartışma konuları, siber güvenlikle ilgili güncel olaylara veya kayba karşı korunmak için verileri yedeklemenin gerekliliği, güçlü şifrelerin nasıl oluşturulacağı ve şifreleri paylaşmamanın önemi veya verileri ve sistemleri korumak için virüsten koruma yazılımını neden yükleyip güncel tutmamız gerektiği gibi öğrencilere uygulanabilecek konulara dayanabilir.;Ağlar ve İnternet;Siber Güvenlik;Bilişimsel Problemleri Tanıma ve Tanımlama;P3.1 – Hesaplamalı olarak çözülebilecek karmaşık ve gerçek dünya problemlerini belirleme;;
1B-DA-06;1B;3-5;İlişkileri vurgulamak ve bir iddiayı desteklemek için toplanan verileri görsel olarak düzenleyin ve sunun.;Ham verilerin tek başına pek anlamı yoktur. Veriler genellikle ek netlik sağlamak için sıralanır veya gruplandırılır. Verileri düzenlemek, onları yorumlamayı ve başkalarına iletmeyi kolaylaştırabilir. Veri noktaları bir dizi ortak özelliğe göre kümelenebilir. Veri kümesinin belirli yönlerini veya parçalarını vurgulamak için aynı veriler farklı şekillerde manipüle edilebilir. Örneğin, spor takımlarının veri kümesi galibiyetlere, atılan sayılara veya yenilen sayılara göre sıralanabilir ve hava durumu bilgilerinin veri kümesi yüksek sıcaklıklara, düşük sıcaklıklara veya yağışlara göre sıralanabilir.;Veri ve Analiz;Toplama Görselleştirme ve Dönüştürme;Bilişim Hakkında İletişim Kurmak;P7.1 – Farklı kaynaklardan gelen büyük veri kümelerini seçme, düzenleme ve yorumlayarak bir iddiayı destekleme;;
1B-DA-07;1B;3-5;Neden-sonuç ilişkilerini vurgulamak veya önermek, sonuçları tahmin etmek veya bir fikri iletmek için verileri kullanın.;Veri analizinin doğruluğu, verilerin ne kadar gerçekçi temsil edildiğiyle ilgilidir. Veriler yeterli değilse veya bir şekilde yanlışsa, verilere dayalı çıkarımların veya tahminlerin doğru olma olasılığı daha düşüktür. Öğrenciler bir fikri iletirken verilere atıfta bulunabilmelidir. Örneğin hız, zaman ve mesafe arasındaki ilişkiyi keşfetmek için öğrenciler bir robotu sabit hızda ve artan zaman aralıklarında çalıştırarak robotun bu hızda ne kadar uzağa gideceğini tahmin edebilirler. Doğru bir tahmin yapmak için, farklı zamanlarda bir veya iki deneme yeterli olmayacaktır. Robot ayrıca bir sensörden sıcaklık verileri toplayabilir, ancak bu veriler görevle ilgili olmayacaktır. Geçerli bir tahmin geliştirmek için öğrencilerin robotun kat ettiği mesafeyi de doğru ölçmeleri gerekir. Öğrenciler, sıcaklıkların yılın belirli aylarında daha yüksek olduğunu göstermek için her gün öğle saatindeki sıcaklığı bir temel olarak kaydedebilir. Sıcaklıklar okul olmayan günlerde kaydedilmezse veya yanlış veya günün farklı saatlerinde kaydedilirse, veriler eksik olur ve aktarılan fikirler yanlış olabilir. Öğrenciler ayrıca verilerin toplandığı haftanın gününü de kaydedebilirler, ancak bunun sıcaklıkların yüksek veya düşük olmasıyla hiçbir ilgisi olmayacaktır. Öğrenciler, fikri iletmek için yeterli ve doğru verilere sahip olmak amacıyla devletin bir meteoroloji kurumu tarafından sağlanan verileri kullanmak isteyebilirler.;Veri ve Analiz;Çıkarım ve Modeller;Bilişim Hakkında İletişim Kurmak;P7.1 – Farklı kaynaklardan gelen büyük veri kümelerini seçme, düzenleme ve yorumlayarak bir iddiayı destekleme;;
1B-AP-08;1B;3-5;Aynı görev için birden fazla algoritmayı karşılaştırın ve geliştirin ve hangisinin en uygun olduğunu belirleyin.;Farklı algoritmalar aynı sonuca ulaşabilir, ancak bazen belirli bir durum için bir algoritma daha uygun olabilir. Öğrenciler, aynı görevi çözmenin farklı yollarına bakabilmeli ve hangisinin en iyi çözüm olacağına karar verebilmelidir. Örneğin öğrenciler, bir noktadan diğerine gitmek için bir harita kullanabilir ve birden fazla algoritma planlayabilirler. Harita yazılımı tarafından önerilen rotalara bakabilir ve rotayı, hangi rotanın en kısa veya en hızlı olduğuna veya bir sorundan kaçınacağına bağlı olarak daha iyi olacak bir şeyle değiştirebilirler. Öğrenciler, okula nasıl hazırlanacaklarını açıklayan algoritmaları karşılaştırabilirler. Başka bir örnek olarak, düzgün bir çokgen çizmek için farklı algoritmalar yazmak ve farklı bir çokgen çizmek için hangi algoritmanın değiştirilmesinin veya yeniden amaçlandırılmasının daha kolay olacağını belirlemek olabilir.;Algoritmalar ve Programlama;Algoritmalar;Bilişimsel Eserleri Test Etme ve İyileştirme, Bilişimsel Problemleri Tanıma ve Tanımlama;P6.3 – Performans, güvenilirlik, kullanılabilirlik ve erişilebilirliği artırmak için ürünü iyileştirme;P3.3 – Bir problemin bilgisayar/teknoloji ile çözülmesinin uygun ve uygulanabilir olup olmadığını değerlendirme;
1B-AP-09;1B;3-5;Verileri depolamak ve değiştirmek için değişkenler kullanan programlar oluşturun.;Değişkenler verileri depolamak ve değiştirmek için kullanılır. Bu seviyede değişkenlerin nasıl kullanılacağını anlamak yeterlidir. Örneğin öğrenciler, bir oyunun puanına ekleme yapmak veya bir oyundaki mevcut can sayısından çıkarma yapmak için matematiksel işlemler kullanabilirler. Değişkenin geri sayım sayacı olarak kullanılması başka bir örnektir.;Algoritmalar ve Programlama;Değişkenler;Bilişimsel Eserler Yaratmak;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;;
1B-AP-10;1B;3-5;Diziler, olaylar, döngüler ve koşullar içeren programlar oluşturun.;Kontrol yapıları, bir program içindeki talimatların yürütülme sırasını (dizi) belirtir ve daha karmaşık programların oluşturulmasını desteklemek için birleştirilebilir. Olaylar, bir programın belirli bölümlerinin belirli bir eyleme bağlı olarak çalışmasını sağlar. Örneğin öğrenciler su döngüsünü açıklayan bir program yazabilir ve belirli bir bileşene tıklandığında (olay), program su döngüsünün o bölümü hakkında bilgi gösterir. Koşullar, belirli bir koşul doğru olduğunda bir programdaki kodun bir kısmının yürütülmesine izin verir. Örneğin öğrenciler, çarpım tablosu soruları soran bir matematik oyunu yazabilir ve ardından girilen yanıtın doğru olup olmadığını kontrol etmek için bir koşul kullanabilirler. Döngüler, bir kod dizisinin birden çok kez tekrarlanmasına izin verir. Örneğin, ünlü tarihi bir karakter hakkında bir animasyon üreten bir programda öğrenciler, karakter kendini tanıtırken ekranda yürümesini sağlamak için bir döngü kullanabilirler.;Algoritmalar ve Programlama;Kontrol;Bilişimsel Eserler Yaratmak;P5.2 – Pratik amaç, kişisel ifade veya toplumsal sorun için dijital ürün oluşturma;;
1B-AP-11;1B;3-5;Program geliştirme sürecini kolaylaştırmak için sorunları daha küçük, yönetilebilir alt sorunlara ayırın (ayrıştırın).;Ayrıştırma, görevleri daha basit görevlere ayırma eylemidir. Örneğin öğrenciler bir hikayeyi farklı sahnelere ayırarak bir animasyon oluşturabilirler. Her sahne için bir arka plan seçer, karakterleri yerleştirir ve eylemleri programlarlar.;Algoritmalar ve Programlama;Modülerlik;Bilişimsel Problemleri Tanıma ve Tanımlama;P3.2 – Karmaşık problemleri yönetilebilir alt problemlere ayırma;;
1B-AP-12;1B;3-5;Yeni bir şey geliştirmek veya daha gelişmiş özellikler eklemek için mevcut bir programın bölümlerini kendi çalışmalarınıza dahil edin, değiştirin veya yeniden düzenleyin (remix).;Programlar, yeni veya mevcut programlara dahil edilebilecek daha küçük parçalara ayrılabilir. Örneğin, öğrenciler tek oyunculu bir oyundan önceden yazılmış kodu, biraz farklı kurallara sahip iki oyunculu bir oyun oluşturmak için değiştirebilir, hareketli bir hikayeye başka bir sahne ekleyip yeniden düzenleyebilir, yeni bir basketbol oyununda başka bir programdan topu zıplatmak için kodu kullanabilir veya başka bir öğrenci tarafından oluşturulan bir resmi değiştirebilirler.;Algoritmalar ve Programlama;Modülerlik;Bilişimsel Eserler Yaratmak;P5.3 – Mevcut bir dijital ürünü iyileştirme veya özelleştirme;;
1B-AP-13;1B;3-5;Başkalarının bakış açılarını dahil ederek ve kullanıcı tercihlerini göz önünde bulundurarak bir programın geliştirilmesini planlamak için yinelemeli bir süreç kullanın.;Planlama, program geliştirmenin yinelemeli sürecinin önemli bir parçasıdır. Öğrenciler temel özellikleri, zaman ve kaynak kısıtlamalarını ve kullanıcı beklentilerini ana hatlarıyla belirlerler. Öğrenciler planı örneğin bir hikaye panosu, akış şeması, sözde kod (pseudocode) veya hikaye haritası olarak belgelemelidir.;Algoritmalar ve Programlama;Program Geliştirme;Kapsayıcı Bir Bilişim Kültürünü Teşvik Etmek, Bilişimsel Eserler Yaratmak;P1.1 – Farklı bakış açılarını dahil etme ve kendi bakış açısını değerlendirme;P5.1 – Dijital ürün geliştirmeyi yinelemeli bir süreçle planlama;
